target,Semester,Exam,Time_of_day,Warning,Month,Day_of_week
1,3,1,8,0,12,Friday
1,5,0,6,0,6,Tuesday
1,16,0,13,0,3,Wednesday
1,15,0,9,0,9,Thursday
1,12,0,15,0,11,Friday
1,6,0,18,0,10,Wednesday
1,9,0,13,0,11,Thursday
3,4,0,19,0,4,Wednesday
2,6,0,21,0,11,Wednesday
2,3,0,5,0,9,Monday
2,19,0,7,0,12,Thursday
1,13,0,17,0,3,Monday
1,12,0,15,0,12,Wednesday
3,12,0,10,0,9,Wednesday
1,18,0,13,0,11,Thursday
1,4,0,17,0,4,Thursday
1,3,0,20,0,9,Friday
1,18,0,10,0,9,Tuesday
1,18,0,11,0,9,Thursday
2,10,0,13,1,4,Monday
4,6,0,20,0,9,Thursday
1,3,0,17,0,9,Friday
1,9,0,11,0,11,Thursday
1,13,0,13,0,2,Tuesday
1,6,0,11,0,10,Friday
1,4,0,6,0,2,Thursday
1,5,0,13,0,7,Friday
1,15,0,14,0,11,Friday
1,7,0,13,0,3,Tuesday
1,13,0,16,0,4,Thursday
1,13,0,18,0,3,Thursday
1,16,0,14,0,4,Thursday
1,3,0,7,0,11,Friday
1,5,0,20,0,8,Thursday
1,3,0,16,0,11,Monday
1,5,0,11,0,7,Tuesday
1,3,0,18,0,8,Friday
1,18,0,12,0,9,Monday
1,18,0,12,1,8,Wednesday
1,16,0,14,0,2,Thursday
1,4,0,13,0,1,Thursday
1,4,0,7,0,1,Wednesday
1,19,0,8,0,8,Sunday
1,13,0,7,0,2,Tuesday
1,18,0,13,1,10,Wednesday
1,16,0,16,0,4,Tuesday
1,4,0,16,0,3,Wednesday
1,3,0,17,0,10,Wednesday
1,4,0,20,0,3,Wednesday
1,9,0,14,0,10,Tuesday
1,7,0,16,0,3,Friday
3,19,0,15,0,8,Tuesday
2,6,0,18,0,10,Friday
1,17,0,11,0,7,Friday
2,13,0,18,0,3,Monday
1,4,0,15,0,4,Thursday
1,4,0,10,0,4,Tuesday
2,9,0,13,1,8,Monday
2,9,0,13,0,9,Thursday
1,5,0,11,0,7,Wednesday
2,9,0,10,1,8,Thursday
2,17,0,11,0,7,Tuesday
1,11,0,12,0,5,Tuesday
1,6,0,7,0,10,Thursday
1,4,1,17,0,5,Wednesday
1,9,0,8,0,10,Thursday
5,11,0,8,1,7,Thursday
1,9,0,11,1,8,Thursday
2,5,0,10,0,7,Tuesday
1,9,0,7,0,10,Thursday
1,15,0,14,1,8,Monday
2,9,0,12,0,9,Wednesday
2,9,0,14,0,10,Friday
1,10,0,13,0,3,Monday
1,7,0,17,0,3,Thursday
1,9,0,17,0,10,Wednesday
1,9,0,16,0,12,Wednesday
1,9,0,9,0,10,Thursday
1,9,0,14,0,9,Wednesday
2,11,0,9,0,6,Monday
1,9,0,14,0,9,Monday
1,9,0,22,0,10,Thursday
1,4,0,6,0,4,Thursday
1,9,0,16,0,11,Monday
1,9,0,9,0,10,Tuesday
2,13,0,20,0,4,Wednesday
