Time,Exam,Holiday,Semester,Issued Amount
12/10/20,1,0,9,2880
12/11/20,1,0,9,1185
12/12/20,1,0,9,0
12/13/20,1,0,9,0
12/14/20,1,0,9,0
12/15/20,1,0,9,110
12/16/20,1,0,9,0
12/17/20,0,0,1,265
12/18/20,0,0,1,0
12/19/20,0,0,1,0
12/20/20,0,0,1,0
12/21/20,0,0,1,0
12/22/20,0,0,1,1150
12/23/20,0,0,1,0
12/24/20,0,0,1,0
12/25/20,0,0,1,0
12/26/20,0,0,1,0
12/27/20,0,0,1,0
12/28/20,0,0,1,0
12/29/20,0,0,1,0
12/30/20,0,0,1,0
12/31/20,0,0,1,0
1/1/21,0,1,1,0
1/2/21,0,0,1,0
1/3/21,0,0,1,0
1/4/21,0,0,1,0
1/5/21,0,0,1,0
1/6/21,0,0,1,0
1/7/21,0,0,1,0
1/8/21,0,0,1,0
1/9/21,0,0,1,0
1/10/21,0,0,1,0
1/11/21,0,0,1,0
1/12/21,0,0,1,710
1/13/21,0,0,1,1345
1/14/21,0,0,1,685
1/15/21,0,0,1,1165
1/16/21,0,0,1,0
1/17/21,0,0,1,0
1/18/21,0,1,1,0
1/19/21,0,0,10,560
1/20/21,0,0,10,2595
1/21/21,0,0,10,1950
1/22/21,0,0,10,1535
1/23/21,0,0,10,0
1/24/21,0,0,10,0
1/25/21,0,0,10,1650
1/26/21,0,0,10,2255
1/27/21,0,0,10,3905
1/28/21,0,0,10,1880
1/29/21,0,0,10,3525
1/30/21,0,0,10,0
1/31/21,0,0,10,0
2/1/21,0,0,10,4465
2/2/21,0,0,10,6585
2/3/21,0,0,10,7330
2/4/21,0,0,10,4110
2/5/21,0,0,10,4040
2/6/21,0,0,10,675
2/7/21,0,0,10,120
2/8/21,0,0,10,4860
2/9/21,0,0,10,4630
2/10/21,0,0,10,6125
2/11/21,0,0,10,40
2/12/21,0,0,10,4405
2/13/21,0,0,10,0
2/14/21,0,0,10,0
2/15/21,0,0,10,0
2/16/21,0,0,10,0
2/17/21,0,0,10,0
2/18/21,0,0,10,0
2/19/21,0,0,10,0
2/20/21,0,0,10,0
2/21/21,0,0,10,0
2/22/21,0,0,10,5855
2/23/21,0,0,10,6280
2/24/21,0,0,10,9145
2/25/21,0,0,10,5145
2/26/21,0,0,10,6175
2/27/21,0,0,10,200
2/28/21,0,0,10,40
3/1/21,0,0,10,5795
3/2/21,0,0,10,5450
3/3/21,0,0,10,7610
3/4/21,0,0,10,4880
3/5/21,0,0,10,6915
3/6/21,0,0,10,520
3/7/21,0,0,10,480
3/8/21,0,0,10,3805
